Image ID,Image name,Failed,Experiment number,circle ratio,x pixel,y pixel,xScale,yScale,stem diameter,avg. root density,#RTP,TD median,TD avg.,DD90 max.,median Width,max. Width,D10,D20,D30,D40,D50,D60,D70,D80,D90,DS10,DS20,DS30,DS40,DS50,DS60,DS70,DS80,DS90,rel. root mass X,rel. root mass Y,avg. lateral length,nodal root length,lateral branching freq.,avg. nodal root dia,lateral avg. angle,lateral angular range,lateral min. angle,lateral max. angle,dist. to 1st lateral,median lateral dia,mean lateral dia
4,IMG_2227,FALSE,-1,0.012448133,238,241,0.106722689,0.105394191,20.09728783,10.56711819,509,0.299978568,0.303396349,0.59279931,106.7226695,213.3386555,0.380161943,0.474089069,0.546558704,0.614574899,0.676923077,0.731174089,0.779352227,0.830364372,0.883805668,0.777362398,1.327520376,1.391491054,1.542344566,1.772967437,1.928215182,2.119650236,1.869514226,1.358745819,8.793179778,-301.6457642,8.286762573,154.7392639,31.7173913,0.712292809,59.09403393,89.9527463,1.44E-12,89.9527463,2.545402559,0.252250903,0.255403369
5,IMG_2228,FALSE,-1,0.0041841,238,239,0.106722689,0.106276151,19.79898987,5.694775356,558,0.301225848,0.300490737,0.670168108,107.5727187,204.3205882,0.427691044,0.5168447,0.583812654,0.647493837,0.705834018,0.75842235,0.806902219,0.855792933,0.913722268,0.65601277,1.30901964,1.557199685,1.629155069,1.763025474,2.009534659,2.048427303,2.099044144,1.415827798,13.71253696,-309.5185523,10.22148189,187.6519778,28.41935484,0.889543665,53.59348192,88.71318876,0.15431857,88.86750733,3.088483176,0.253299736,0.258814036
8,IMG_2232,FALSE,-1,0.004201681,239,238,0.106276151,0.106722689,19.51299927,4.241821291,590,0.253299736,0.286208581,0.404448357,86.50891634,199.9054393,0.411743119,0.513027523,0.582018349,0.639266055,0.692110092,0.743119266,0.790458716,0.845504587,0.904587156,0.744761939,1.262258858,1.603902381,1.848119882,1.915083968,2.105054585,1.818386533,1.773272517,1.728063612,-3.896707533,-333.7111268,7.841907282,172.1030625,85.05263158,1.587065632,57.68287362,83.32270374,5.929884116,89.25258785,2.449486657,0.253299736,0.288531008
9,IMG_2233,FALSE,-1,0,239,239,0.106276151,0.106276151,19.22905813,4.251451328,600,0.252768709,0.286685647,0.317839825,86.72133891,200.0648536,0.407973174,0.508941878,0.577496274,0.635245902,0.688152012,0.740312966,0.787630402,0.84314456,0.903129657,0.753488752,1.251399798,1.632419932,1.840587877,1.898926107,2.078781001,1.80906847,1.753333333,1.703744737,-2.367515842,-327.3259003,7.706631165,170.041841,80,1.640710758,63.60805969,50.99589248,38.33622878,89.33212126,3.294560669,0.252768709,0.269151477
10,IMG_2234,FALSE,-1,0.008368201,241,239,0.105394191,0.106276151,18.46201523,8.969825751,585,0.251719876,0.28381428,0.473309272,101.020332,165.7784751,0.379296236,0.474631751,0.548690671,0.615793781,0.679623568,0.738543372,0.79091653,0.848608838,0.912438625,0.572130841,1.147841858,1.521492793,1.486611061,1.533591462,1.827008752,1.969540029,1.569855667,1.556098203,-2.955943886,-296.014636,7.823962993,169.6537787,84.36842105,1.655156481,59.23624667,77.70593377,12.05645526,89.76238903,4.656747513,0.251719876,0.278703561
13,IMG_2237,FALSE,-1,0,241,241,0.105394191,0.105394191,18.80331631,3.481035226,661,0.250671043,0.281997065,0.47133715,87.8761119,179.6970954,0.377502002,0.45276221,0.514811849,0.569255404,0.620096077,0.675340272,0.73378703,0.791833467,0.869495596,1.035755392,1.42622555,1.804808286,1.88006929,2.040922922,1.792992865,1.715907834,1.645894722,1.07821206,-12.55209301,-297.7586236,27.86825432,172.7410788,29.8,0.913597281,48.61735119,89.5821986,0.32545244,89.90765104,3.688796681,0.210788382,0.254929741
14,IMG_2238,FALSE,-1,0,241,241,0.105394191,0.105394191,17.77638883,14.05616144,375,0.250671043,0.286029973,0.47133715,75.75372147,147.3937759,0.386737873,0.492211838,0.570983534,0.639074321,0.699599466,0.754784157,0.806853583,0.857587895,0.916777926,0.616752086,1.065901007,1.550827455,1.536677076,1.806648594,1.823625445,1.985968293,1.83021638,1.653683854,-0.391040894,-288.9582706,13.07513187,162.2016598,30.78,0.551538237,59.41774294,88.08393693,1.433214489,89.51715142,34.25311203,0.210788382,0.246998976
15,IMG_2239,FALSE,-1,0.004132231,241,242,0.105394191,0.104958678,17.70763117,5.729732112,591,0.250153128,0.288436698,0.399424111,66.81991701,144.7589212,0.383585313,0.504103672,0.573218143,0.632829374,0.689848812,0.740388769,0.793520518,0.845356371,0.901079914,0.458590192,1.243710962,1.456979925,1.672724433,1.906948528,1.894442581,1.91382468,1.941250875,1.814766081,-1.924703083,-291.6564163,29.15634181,192.9987569,33.98148148,0.831033454,62.20209874,89.62191896,0.088770833,89.71068979,2.94494016,0.250153128,0.253266109
16,IMG_2241,FALSE,-1,0.008368201,241,239,0.105394191,0.106276151,17.65553231,10.90379935,453,0.251719876,0.284933545,0.37640901,97.27883817,123.4165975,0.307399577,0.394503171,0.463002114,0.534883721,0.603382664,0.670190275,0.733192389,0.797040169,0.858773784,0.825061352,1.386497794,1.565038897,1.364216229,1.497183499,1.46103931,1.541525888,1.621369895,1.544756894,-1.634458159,-276.8996278,5.027823914,168.0662512,18.46511628,0.82477098,61.42746919,87.9024453,1.791712554,89.69415786,2.010868244,0.211670341,0.246360612
17,IMG_2242,FALSE,-1,0,241,241,0.105394191,0.105394191,17.08800749,7.996558212,581,0.250671043,0.285074397,0.428014912,91.06124992,153.3485477,0.34479638,0.45158371,0.53438914,0.609954751,0.678280543,0.742986425,0.801357466,0.856108597,0.914932127,0.713650411,1.098246648,1.31591642,1.401632368,1.461601193,1.528350985,1.817958019,1.721431934,1.678084333,0.024167072,-267.3054625,10.96149773,182.9643154,25.52941176,0.762043005,60.51962874,84.17733291,5.063617392,89.2409503,12.43651452,0.250671043,0.251649601
